"CRITERIA_PERFORMANCE_REPORT (Jun 27, 2015)"
Ad group ID,Ad group,Ad group state,Approval Status,Clicks
1780391121,block machine,enabled,approved,0
9059347521,block machine,enabled, --,0
1117129221,block machine,enabled,approved,0
1707846921,block machine其他词,enabled,approved,0
1249650441,talk,enabled,approved,0
1109157381,block machine,enabled,approved,0
1249650441,talk,enabled,approved,0
15315879801,brick machine,enabled,approved,0
1109157381,block machine,enabled,approved,0
1109156931,block machine,enabled,approved,0
10378993161,block making machine,enabled,approved,0
1249418601,网络游戏,enabled,approved,0
1249650441,talk,enabled,approved,0
1780391121,block machine,enabled,approved,0
15315879801,brick machine,enabled,approved,0
20747461401,block machine其他词,enabled,approved,0
9059347521,block machine,enabled,approved,0
9059347521,block machine,enabled, --,0
1117129221,block machine,enabled,approved,0
1117129221,block machine,enabled,approved,0
1780391121,block machine,enabled,approved,0
9059347521,block machine,enabled,approved,0
9059347521,block machine,enabled,approved,0
10378993161,block making machine,enabled,approved,0
20747461401,block machine其他词,enabled,approved,3
20747461401,block machine其他词,enabled,approved,0
1109157381,block machine,enabled,approved,0
15315879801,brick machine,enabled,approved,0
15315888081,brick machine,enabled,pending review,0
1249650441,talk,enabled,approved,0
1249650441,talk,enabled,approved,0
1249650441,talk,enabled,approved,0
1249650441,talk,enabled,approved,0
4199619921,brick machine,enabled,approved,0
1780391121,block machine,enabled,approved,0
1109156931,block machine,enabled,approved,0
15315910761,block machine,enabled,approved,0
15315888081,brick machine,enabled,pending review,0
1249650441,talk,enabled,approved,0
1249650441,talk,enabled,approved,0
20747461401,block machine其他词,enabled,approved,0
15315879801,brick machine,enabled,approved,0
1109156931,block machine,enabled,approved,0
